n,a,m2,is_valid,contagious_set
5,21,,False,
6,21,,False,
7,21,,False,
8,21,,False,
9,21,,False,
10,21,,False,
11,21,,False,
12,21,,False,
13,21,,False,
14,21,,False,
15,21,,False,
16,21,,False,
17,21,,False,
18,21,,False,
19,21,,False,
20,21,,False,
21,21,,False,
22,21,2.0,True,"[3, 21]"
23,21,3.0,True,"[0, 1, 2]"
24,21,,False,
25,21,4.0,True,"[0, 6, 12, 18]"
26,21,3.0,True,"[0, 8, 16]"
27,21,,False,
28,21,4.0,True,"[2, 3, 11, 12]"
29,21,3.0,True,"[4, 7, 23]"
30,21,,False,
31,21,4.0,True,"[0, 7, 14, 21]"
32,21,4.0,True,"[0, 8, 16, 24]"
33,21,,False,
34,21,3.0,True,"[2, 4, 12]"
35,21,5.0,True,"[1, 2, 5, 13, 14]"
36,21,,False,
37,21,4.0,True,"[1, 7, 15, 17]"
38,21,4.0,True,"[1, 7, 15, 17]"
39,21,,False,
40,21,4.0,True,"[7, 24, 29, 34]"
41,21,4.0,True,"[0, 1, 2, 3]"
42,21,,False,
43,21,4.0,True,"[0, 1, 2, 3]"
44,21,5.0,True,"[0, 1, 2, 3, 4]"
45,21,,False,
46,21,5.0,True,"[0, 9, 18, 27, 36]"
47,21,4.0,True,"[17, 23, 29, 40]"
48,21,,False,
49,21,5.0,True,"[0, 9, 18, 27, 36]"
50,21,5.0,True,"[9, 13, 17, 21, 48]"
51,21,,False,
52,21,5.0,True,"[9, 13, 17, 21, 27]"
53,21,5.0,True,"[10, 15, 34, 40, 46]"
54,21,,False,
55,21,6.0,True,"[0, 9, 18, 27, 36, 45]"
56,21,5.0,True,"[6, 8, 14, 15, 47]"
57,21,,False,
58,21,5.0,True,"[10, 15, 34, 40, 46]"
59,21,5.0,True,"[14, 26, 28, 34, 37]"
60,21,,False,
61,21,5.0,True,"[0, 12, 24, 36, 48]"
62,21,4.0,True,"[10, 34, 40, 46]"
63,21,,False,
64,21,5.0,True,"[0, 12, 24, 36, 48]"
65,21,6.0,True,"[3, 12, 29, 35, 41, 45]"
66,21,,False,
67,21,6.0,True,"[3, 12, 27, 29, 35, 64]"
68,21,6.0,True,"[5, 17, 28, 46, 51, 63]"
69,21,,False,
70,21,5.0,True,"[11, 13, 17, 54, 69]"
71,21,5.0,True,"[14, 20, 37, 43, 55]"
72,21,,False,
73,21,6.0,True,"[0, 12, 24, 36, 48, 60]"
74,21,6.0,True,"[0, 12, 24, 36, 48, 60]"
75,21,,False,
76,21,6.0,True,"[0, 12, 24, 36, 48, 60]"
77,21,6.0,True,"[0, 12, 24, 36, 48, 60]"
78,21,,False,
79,21,6.0,True,"[39, 47, 51, 56, 57, 66]"
80,21,6.0,True,"[5, 8, 24, 37, 46, 73]"
81,21,,False,
82,21,5.0,True,"[8, 10, 16, 62, 68]"
83,21,5.0,True,"[9, 21, 68, 77, 81]"
84,21,,False,
85,21,7.0,True,"[0, 12, 24, 36, 48, 60, 72]"
86,21,6.0,True,"[3, 25, 69, 71, 77, 83]"
87,21,,False,
88,21,6.0,True,"[11, 13, 17, 69, 75, 86]"
89,21,7.0,True,"[0, 12, 24, 36, 48, 60, 72]"
90,21,,False,
91,21,5.0,True,"[5, 8, 29, 84, 90]"
92,21,6.0,True,"[14, 20, 37, 43, 55, 58]"
93,21,,False,
94,21,6.0,True,"[3, 25, 64, 71, 77, 91]"
95,21,7.0,True,"[3, 25, 71, 77, 83, 89, 91]"
96,21,,False,
97,21,7.0,True,"[3, 25, 71, 77, 83, 89, 91]"
98,21,7.0,True,"[3, 25, 71, 77, 83, 89, 91]"
99,21,,False,
100,21,7.0,True,"[3, 25, 71, 77, 83, 89, 91]"
101,21,7.0,True,"[3, 25, 71, 77, 83, 89, 91]"
102,21,,False,
103,21,7.0,True,"[3, 25, 71, 77, 83, 89, 91]"
104,21,7.0,True,"[3, 25, 71, 77, 83, 89, 91]"
105,21,,False,
106,21,7.0,True,"[3, 25, 71, 77, 83, 89, 91]"
107,21,7.0,True,"[3, 25, 71, 77, 83, 89, 91]"
108,21,,False,
109,21,6.0,True,"[0, 18, 36, 54, 72, 90]"
110,21,6.0,True,"[0, 18, 36, 54, 72, 90]"
111,21,,False,
112,21,6.0,True,"[0, 18, 36, 54, 72, 90]"
113,21,6.0,True,"[0, 18, 36, 54, 72, 90]"
114,21,,False,
115,21,8.0,True,"[37, 46, 73, 79, 80, 106, 110, 113]"
116,21,7.0,True,"[2, 14, 39, 46, 103, 106, 112]"
117,21,,False,
118,21,8.0,True,"[8, 16, 62, 68, 84, 97, 98, 104]"
119,21,6.0,True,"[2, 14, 46, 106, 112, 118]"
120,21,,False,
121,21,5.0,True,"[30, 39, 103, 106, 112]"
122,21,8.0,True,"[2, 14, 46, 62, 103, 106, 112, 118]"
123,21,,False,
124,21,8.0,True,"[8, 10, 62, 68, 93, 97, 98, 104]"
125,21,9.0,True,"[4, 7, 29, 34, 40, 51, 99, 103, 105]"
126,21,,False,
127,21,7.0,True,"[0, 18, 36, 54, 72, 90, 108]"
128,21,7.0,True,"[0, 18, 36, 54, 72, 90, 108]"
129,21,,False,
130,21,7.0,True,"[0, 18, 36, 54, 72, 90, 108]"
131,21,7.0,True,"[0, 18, 36, 54, 72, 90, 108]"
132,21,,False,
133,21,9.0,True,"[14, 15, 39, 48, 55, 73, 75, 108, 124]"
134,21,9.0,True,"[24, 48, 90, 104, 105, 108, 110, 119, 121]"
135,21,,False,
136,21,8.0,True,"[33, 52, 61, 67, 76, 80, 101, 117]"
137,21,10.0,True,"[0, 3, 24, 27, 48, 51, 72, 75, 96, 99]"
138,21,,False,
139,21,9.0,True,"[6, 7, 8, 23, 50, 55, 59, 107, 129]"
140,21,8.0,True,"[33, 52, 61, 67, 76, 80, 101, 117]"
141,21,,False,
142,21,8.0,True,"[8, 14, 56, 58, 68, 80, 83, 102]"
143,21,8.0,True,"[33, 52, 61, 66, 67, 76, 80, 101]"
144,21,,False,
145,21,6.0,True,"[0, 24, 48, 72, 96, 120]"
146,21,6.0,True,"[0, 24, 48, 72, 96, 120]"
147,21,,False,
148,21,6.0,True,"[0, 24, 48, 72, 96, 120]"
149,21,6.0,True,"[0, 24, 48, 72, 96, 120]"
150,21,,False,
151,21,8.0,True,"[0, 18, 36, 54, 72, 90, 108, 126]"
152,21,9.0,True,"[35, 36, 63, 67, 109, 117, 137, 143, 149]"
153,21,,False,
154,21,7.0,True,"[33, 52, 61, 67, 76, 80, 101]"
155,21,7.0,True,"[33, 52, 61, 67, 76, 80, 101]"
156,21,,False,
157,21,7.0,True,"[33, 52, 61, 67, 76, 80, 101]"
158,21,7.0,True,"[33, 52, 61, 67, 76, 80, 101]"
159,21,,False,
160,21,8.0,True,"[11, 17, 49, 75, 92, 141, 147, 158]"
161,21,9.0,True,"[8, 14, 56, 58, 68, 80, 83, 102, 142]"
162,21,,False,
163,21,8.0,True,"[33, 52, 61, 66, 67, 76, 80, 101]"
164,21,8.0,True,"[33, 52, 61, 66, 67, 76, 80, 101]"
165,21,,False,
166,21,9.0,True,"[0, 18, 36, 54, 72, 90, 108, 126, 144]"
167,21,8.0,True,"[8, 14, 56, 58, 68, 80, 83, 102]"
168,21,,False,
169,21,7.0,True,"[0, 24, 48, 72, 96, 120, 144]"
170,21,7.0,True,"[0, 24, 48, 72, 96, 120, 144]"
171,21,,False,
172,21,7.0,True,"[0, 24, 48, 72, 96, 120, 144]"
173,21,7.0,True,"[0, 24, 48, 72, 96, 120, 144]"
174,21,,False,
175,21,8.0,True,"[41, 53, 68, 90, 94, 165, 171, 174]"
176,21,10.0,True,"[0, 3, 24, 27, 48, 51, 72, 75, 96, 99]"
177,21,,False,
178,21,10.0,True,"[0, 3, 24, 27, 48, 51, 72, 75, 96, 99]"
179,21,9.0,True,"[8, 14, 56, 58, 83, 142, 163, 175, 176]"
180,21,,False,
181,21,10.0,True,"[0, 18, 36, 54, 72, 90, 108, 126, 144, 162]"
182,21,10.0,True,"[0, 18, 36, 54, 72, 90, 108, 126, 144, 162]"
183,21,,False,
